Corpus,Inclusion,Reason of exclusion,Number of participants,Language,Neighbour/village/city/province/state/country,"Recording method (static, portable, both, diary, other) ",Presence of investigator (yes/no/parent is investigator/half half),Specific tasks (or toy if only toy mentioned),# of children with siblings,# of children with older siblings,Average number of older siblings,Average number of siblings,Mean child age at beginning of recordings,Mean child age at end of recordings,Mean # sessions per child,Range # sessions per child,Mean Duration of sessions,Range Duration of sessions,CDS annotation (yes/no),English translation: yes/no,Morphological annotation (yes/no),Fertility rate of community,Interbirth intervals,Access to schooling for children (yes/no/only elementary) ,Type of community (hunter/forager/herder/farmer/work-for-pay/industrial),Access to health for children  (yes/no),"Type of culture (minority, majority)",Bilingualism in corpus (yes/ no),Mortality rate of children in the community,Number of speakers of the language,"Household structure (nuclear, extended)","Where children spend their time (home, nursery, playing by the river...)",Only directed to child transcribed (i.e. speech between adults not transcribed): yes/no,Correction of speech errors (i.e. syntactic)/ transcriptions not exactly matching speech : yes/no,Parental education,Parental socioeconomic status,Parental profession,"Place of recordings: (home, nursery...)",Comments,Who checked column,category on CHILDES
Hamasaki,yes,,1,japanese,Nagoya area,NA,no,no,1,0,0,1,2;2.3,3;7,32,32,NA,NA,no,no,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,Na,NA,NA,home,CS,
Ishii,yes,,1,Japanese (Kyoto dialect),"Kusatsu City, Shiga Pref",static,parent is investigator,no,1,1,2,2,0;8,3;8,25,25,60min (but divided into 15 min files),60min,no,no,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,yes,NA,NA,father: researcher,home,CS,
Miipro,yes,,4,japanese,Tokyo area,static,ambigous,no,3,0,0,1,2:08,5,37.5,18-58,70min,NA,no,no,yes,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,yes,NA,NA,NA,home,CS,
Miyata,yes,,3,japanese,Nagoya center,static,yes,mother was instructed to 'make the child speak',2,1,0.3,0.66,"1,4",3,71.3,56-83,40,11-60min,no,yes,yes,NA,NA,NA,NA,yes,NA,no,NA,NA,NA,NA,mostly,no,NA,yes,yes,home,cs,some publication indentical to the Miipro corpus
NINJAL-Okubo,yes,,1,japanese,Japan,static,no,no,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,na,NA,NA,NA,home,cs,reference in japanese
Noji,no,diary,,japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ogawa,no,diary,,japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okayama,yes,,130,japanese,osaka area,statis,yes,no,NA,NA,NA,NA,2;2,4;1,1,1,NA,NA,no,no,no,NA,Na,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,home,cs,
Ota,yes,,3,japanese,washington dc,static,NA,no,1,1,0.3,0.33,1;00,2,21,15-26,NA,60-90min,no,no,no,NA,NA,yes,industrial,NA,minority,no,NA,NA,nuclear,"home, nursery",yes,yes,NA,NA,NA,home,cs,only children's tier
PaidoJapanese,no,not naturalistic,85,japanese,japan,static,yes,elicitation task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StanfordJapanese,yes,,5,japanese,San Francisco area,portable,yes,no,NA,0,0,,0.96,1.058,NA,NA,NA,NA,no,no,no,NA,NA,NA,industrial,NA,minority,no,NA,NA,NA,NA,yes,NA,NA,only middle SES ,NA,home,cs,only children's tier
Yokoyama,no,diary,,japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EsteveGibert/Prieto,yes,,4,catalan,"Alt penedes, region of catalonia",static,yes,no,NA,NA,NA,NA,0;7,0;11,0;11,14.75,30,30,no,no,no,no,no,NA,industrial,NA,majority,no,NA,NA,nuclear,NA,no,no,NA,NA,NA,home,cs,only children's tier
GRERLI,no,spoken and written narrative texts,80,catalan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordina,yes,,1,catalan,Barcelona,NA,NA,NA,1,1,2,2,1;7,2;1,NA,NA,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,CS,"unable to match corpus girl with publications provided; presumably videorecordings/ The authors of the corpus would appreciate being notified and receiving a copy, or a summary, of any work using the data of the corpus."
Julia,yes,,1,catalan,Barcelona,NA,parent is investigator,"daily activities such as taking a bath, having lunch, playing with toys, looking at book pictures, etc.",NA,NA,NA,NA,1;9,2;6,17,NA,NA,NA,no,no,no,NA,NA,NA,NA,NA,NA,yes,NA,NA,nuclear,NA,NA,yes,yes,NA,mother: researcher,home,cs,video-recordings
MireiaEvaPascual,yes,,3,catalan,Barcelona,NA,parent is investigator,"natural and daily activities such as taking a bath, having lunch, playing with toys or looking at book pictures.",,,1,2,1;08,2;8,29,14-38,NA,NA,no,no,no,NA,NA,NA,NA,NA,NA,yes,NA,NA,nuclear,NA,NA,yes,yes,NA,mother: researcher,home,cs,video-recordings
