country;0 children;1 child;2 children;3 or more children;Proportion (%) of households with children under 6
Australia;..;..;..;..;..
Austria;74.07;12.81;9.72;3.39;9.98
Belgium;67.43;13.85;12.72;6.01;12.78
Canada;..;..;..;..;..
Chile;..;..;..;..;..
Czech Republic;68.37;14.75;14.10;2.78;13.20
Denmark;70.55;12.43;12.32;4.69;11.39
Estonia;68.77;16.18;10.99;4.06;13.66
Finland;77.61;9.34;8.74;4.32;9.56
France;68.36;13.36;12.65;5.63;12.66
Germany;78.17;11.32;8.04;2.47;8.23
Greece;73.42;12.69;11.06;2.82;8.06
Hungary;70.78;14.74;10.23;4.25;10.66
Iceland;..;..;..;..;..
Ireland;58.47;14.78;15.61;11.14;18.66
Israel;..;..;..;..;..
Italy;69.94;15.45;12.17;2.43;10.26
Japan (c);76.96;10.90;9.49;2.66;8.66
Korea;..;..;..;..;..
Latvia;68.50;18.07;10.69;2.74;12.97
Luxembourg;66.13;14.54;14.75;4.58;11.79
Mexico (d);41.32;23.75;20.53;14.38;..
Netherlands;71.23;11.24;12.74;4.78;10.50
New Zealand (e);66.99;13.32;12.81;6.88;..
Norway (f);71.64;12.68;11.08;4.60;..
Poland;61.61;18.47;15.16;4.76;15.02
Portugal;63.80;21.39;12.66;2.15;11.59
Slovak Republic;62.81;17.27;15.23;4.69;13.68
Slovenia;69.80;14.05;12.81;3.34;11.57
Spain;66.02;17.64;13.53;2.81;12.43
Sweden;78.37;8.47;9.89;3.27;9.36
Switzerland;..;..;..;..;..
Turkey;45.69;20.79;19.73;13.79;25.38
United Kingdom;68.45;13.77;12.62;5.15;14.95
United States (f);66.61;14.15;12.00;7.24;..
OECD-32 average;67.57;14.72;12.65;5.07;..
Costa Rica;30.29;23.08;24.61;22.02;26.30
Bulgaria;74.72;14.85;9.05;1.38;8.09
Croatia;64.93;15.32;14.43;5.33;11.67
Cyprus (g,h);61.10;16.48;15.90;6.48;14.38
Lithuania;69.97;16.57;10.48;2.99;11.10
Malta;63.05;18.04;14.54;4.30;13.42
Romania;65.12;18.56;12.63;3.69;10.71
EU average;68.63;14.87;12.34;4.16;11.87
Eurozone average;68.35;15.00;12.37;4.27;11.96
