Corpus,status,Language_group,Languages
Almeida,include,Bilingual,Portuguese; French
Amsterdam ,include,Bilingual,French; Dutch; Italian
Bailleul,include,Bilingual,French; Russian
Biro,include,Bilingual,Spanish; Catalan; Hungarian
BiSLI,include,Bilingual,Russian; Dutch; Russian
CHCC,include,Bilingual,Chinese; English
CUHK,include,Bilingual,Chinese; English
De Houwer,include,Bilingual,Dutch; English
De Houwer/Bornstein,include,Bilingual,Dutch; French; English
Deuchar,include,Bilingual,Spanish; English
FallsChurch,include,Bilingual,Japanese; English
FerFuLice,include,Bilingual,Spanish; English
Gelman,include,Bilingual,Marathi; English
GNP,include,Bilingual,French; English
Guthrie,include,Bilingual,Chinese; English
Hacohen,include,Bilingual,Hebrew; English
Hayashi,include,Bilingual,Japanese; Danish; English
Ionin,include,Bilingual,Russian; English
Klammler,include,Bilingual,Italian; German
Koroschetz,include,Bilingual,Polish; English
Krupa,include,Bilingual,Mandarin; English; Cantonese
Leo,include,Bilingual,Portuguese; English
LlinasOjea,include,Bilingual,Spanish; English
MCF,include,Bilingual,Portuguese; Swedish; English
Navracsics,include,Bilingual,Farsi; Hungarian; English
Paradis,include,Bilingual,English; Various
Perez,include,Bilingual,Spanish; English
PhonBLA,include,Bilingual,German; Spanish
ProjectS,include,Bilingual,English; Italian; Scottish; Gaelic
Reyes / Ervin; Tripp,include,Bilingual,Spanish; English
Roggero,include,Bilingual,Italian; Japanese
Seba,include,Bilingual,Arabic; English
Serra,include,Bilingual,Spanish; Catalan
SilvaCorvalan,include,Bilingual,Spanish; English
Singapore,include,Bilingual,English; Mandarin
Ticio,include,Bilingual,Spanish; English
vanOosten,include,Bilingual,Italian; Dutch
Vila,include,Bilingual,Spanish; Catalan
Watkins,include,Bilingual,French; English
YipMatthews,include,Bilingual,Cantonese; English
ZAS,include,Bilingual,Russian; German
Bliss,excluded,Clinical-MOR,NA
Chiat,excluded,Clinical-MOR,NA
Chiat-Ruth,excluded,Clinical-MOR,NA
EisenbergGuo,excluded,Clinical-MOR,NA
EllisWeismer,excluded,Clinical-MOR,NA
ENNI,excluded,Clinical-MOR,NA
Flusberg,excluded,Clinical-MOR,NA
Flusberg,excluded,Clinical-MOR,NA
Gillam,excluded,Clinical-MOR,NA
Hargrove,excluded,Clinical-MOR,NA
Hooshyar,excluded,Clinical-MOR,NA
Malakoff / Mayes,excluded,Clinical-MOR,NA
Nadig,excluded,Clinical-MOR,NA
POLER,excluded,Clinical-MOR,NA
QuigleyMcNally,excluded,Clinical-MOR,NA
Rescorla,excluded,Clinical-MOR,NA
Rollins,excluded,Clinical-MOR,NA
TBI,excluded,Clinical-MOR,NA
UCSD-SLI,excluded,Clinical-MOR,NA
Ambrose,excluded,Clinical-MOR,NA
HL,excluded,Clinical-MOR,NA
