Country,ISO Code,Data source category,Reference date (dd/mm/yyyy),year,Average household size (number of members),Households by size 1 member,"
Households by size 2-3 members",Households by size 4-5 members,Households by size 6 or more members,Average number of household members of selected ages Under age 15 years among all households,One-person,Couple only,Couple with children,Single parent with children,Single mother with children,Single father with children,Extended family,Non-relatives,Unknown,Nuclear,Multi-generation,Three generation,Skip generation
Afghanistan,4,DHS,19/10/2015,2015,8.04,0.19,6.45,16.84,76.52,3.75,0.19,1.97,49.8,0.99,0.78,0.21,46.86,0.19,0.0,52.77,50.39,32.18,0.07
Albania,8,DHS,12-Jan-2017,2017,3.30,9.95,48.08,32.51,9.45,0.57,9.95,22.57,35.86,6.53,5.44,1.1,24.4,0.68,0,64.96,44.65,18.01,0.58
Algeria,12,MICS,7-Jan-2018,2018,4.94,1.61,21.83,42.3,34.27,1.41,1.61,5.91,65.05,6.65,6,0.65,20.65,0.12,0.01,77.61,51.85,13.15,0.25
Angola,24,DHS,1-Jan-2016,2016,4.82,10.81,23.9,28.46,36.83,2.41,10.81,5.34,36.08,13.39,12.14,1.25,32.8,1.57,0.01,54.81,17.54,13.34,3.28
Argentina,32,MICS,7-Jan-2019,2019,2.95,22.75,43.73,25.8,7.72,0.68,22.75,15.05,31.26,13.44,11.41,2.03,16.51,0.98,0.01,59.75,29.57,8.94,1.29
Armenia,51,DHS,2-May-2016,2016,3.54,15.19,36.17,32.3,16.34,0.68,15.19,13.42,27.17,7.37,6.74,0.63,35.75,1.1,0.0,47.96,54.3,29.84,0.91
Aruba,533,DYB,7-Jan-2010,2010,2.89,21.37,46.77,25.59,6.28,NA,21.37,11.48,22.16,11.48,NA,NA,NA,NA,33.51,45.12,NA,NA,NA
Australia,36,DYB,7-Jan-2011,2011,2.5,24.34,49.95,22.44,3.27,NA,24.34,25.09,29.9,9.1,NA,NA,NA,NA,11.57,64.09,NA,NA,NA
Austria,40,IPUMS,7-Jan-1971,1971,2.88,25.51,43.84,21.89,8.76,0.71,25.51,19.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,40,IPUMS,7-Jan-1981,1981,2.71,28.23,43.51,22.09,6.17,0.55,28.23,19.2,34.09,6.24,5.37,0.87,9.43,2.81,0.0,59.52,NA,NA,NA
Austria,40,IPUMS,7-Jan-1991,1991,2.55,29.59,45.38,21.05,3.97,0.45,29.59,19.55,31.48,7.71,6.59,1.13,8.97,2.69,0.0,58.74,NA,NA,NA
Austria,40,DYB,7-Jan-2001,2001,2.38,33.53,44.85,18.97,2.64,NA,33.53,20.57,29,8.86,NA,NA,NA,NA,8.03,58.44,NA,NA,NA
Austria,40,IPUMS,7-Jan-2001,2001,2.38,33.47,44.88,19.04,2.61,0.4,33.47,20.68,28.99,7.97,6.85,1.12,7.61,1.28,0.0,57.64,NA,NA,NA
Austria,40,IPUMS,7-Jan-2011,2011,2.27,36.4,44.88,16.45,2.27,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Azerbaijan,31,DHS,14/09/2006,2006,4.15,6.5,28.22,45.89,19.39,1.05,6.5,7.09,43.72,9.68,8.97,0.71,32.95,0.03,0.02,60.49,48.61,24.47,0.75
Bahamas,44,DYB,7-Jan-2010,2010,3.4,17.73,40.33,29.15,12.79,NA,17.73,8.31,23.68,12.87,NA,NA,NA,NA,37.41,44.86,NA,NA,NA
Bangladesh,50,IPUMS,7-Jan-1991,1991,5.45,2.97,20.33,33.35,43.36,2.47,2.97,3.9,45.26,7.79,6.55,1.24,NA,NA,NA,56.94,NA,NA,NA
Bangladesh,50,DHS,13/01/1994,1994,5.46,1.55,20.23,36.03,42.19,2.29,1.55,4.14,46.94,5.07,4.28,0.79,36.83,5.37,0.1,56.16,40.61,24.25,0.51
Bangladesh,50,DHS,1-May-1997,1997,5.3,1.88,21.08,37.97,39.06,2.14,1.88,3.77,47.58,5.24,4.38,0.86,36.75,4.75,0.03,56.59,39.85,24.31,0.58
Bangladesh,50,DHS,30/01/2000,2000,5.17,1.53,20.4,40.97,37.1,1.99,1.53,4.1,49.76,4.42,3.99,0.43,35.4,4.76,0.03,58.28,40.39,23.91,0.7
Bangladesh,50,IPUMS,7-Jan-2001,2001,4.85,3.07,25.44,39.27,32.22,1.91,3.07,5.29,48.71,7,6.04,0.96,NA,NA,NA,61,NA,NA,NA
Bangladesh,50,DHS,14/03/2004,2004,4.96,1.7,22.6,42.4,33.29,1.87,1.7,4.48,50.55,5.31,5.01,0.3,35.35,2.58,0.02,60.35,39.43,23.78,0.69
Bangladesh,50,MICS,7-Jan-2006,2006,4.83,1.94,23.12,45.13,29.82,1.71,1.94,5.03,52.89,4.17,3.86,0.31,33.58,2.12,0.27,62.09,39.07,22.6,0.76
Bangladesh,50,DHS,6-Feb-2007,2007,4.71,2.26,25.75,43.74,28.25,1.69,2.26,5.5,47.69,6.44,5.96,0.48,35.47,2.65,0.0,59.62,38.57,24.21,0.88
Bangladesh,50,DYB,7-Jan-2011,2011,NA,3.23,30.02,43.05,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,50,IPUMS,7-Jan-2011,2011,4.44,3.37,30.04,42.84,23.76,1.54,3.37,6.61,47.67,7.9,7.15,0.75,30.32,3.41,0.73,62.18,NA,NA,NA
Bangladesh,50,DHS,10-Apr-2011,2011,4.6,1.74,27.17,45.56,25.53,1.6,1.74,6.15,48.5,5.29,4.94,0.35,36.81,1.52,0.0,59.94,39.9,25.73,1.18
Bangladesh,50,MICS,7-Jan-2012,2012,4.57,1.9,26.78,46.65,24.67,1.52,1.9,6.22,52.94,4.4,4.1,0.3,33.69,0.69,0.17,63.56,40.6,23.82,0.97
Bangladesh,50,DHS,22/08/2014,2014,4.47,1.74,29.71,45.59,22.96,1.48,1.74,7.08,46.93,5.97,5.64,0.32,37.05,1.23,0.0,59.98,39.55,25.88,1.32
Bangladesh,50,DHS,1-Feb-2018,2018,4.28,2.3,32.29,45.7,19.71,1.36,2.3,7.79,43.74,7.68,7.36,0.32,37.6,0.89,0.0,59.21,40.25,27.28,1.62
Bangladesh,50,MICS,7-Jan-2019,2019,4.26,2.85,31.27,46.96,18.93,1.26,2.85,7.67,50.27,5.95,5.53,0.42,32.88,0.38,0.0,63.89,41.7,23.71,1.1
Barbados,52,MICS,7-Jan-2012,2012,2.85,26.34,43.2,23.28,7.19,0.55,26.34,10.4,18.26,16.34,13.21,3.14,23.36,2.23,3.07,45,38.59,15.39,2.03
Belarus,112,DYB,7-Jan-1999,1999,2.57,26.16,48.43,23.38,2.04,NA,26.16,16.76,33.34,10.55,NA,NA,NA,NA,NA,60.65,NA,NA,NA
Belarus,112,IPUMS,7-Jan-1999,1999,2.63,23.34,50.06,24.39,2.21,0.51,23.34,17.96,34.22,10.75,9.8,0.94,12.43,1.31,0.0,62.92,24.54,7.63,0.81
Belarus,112,MICS,7-Jan-2005,2005,2.67,18.31,56.77,23.22,1.7,0.48,18.31,19.77,38.28,11.05,10.6,0.45,12.39,0.22,0.0,69.09,24.72,7.99,0.84
Belarus,112,DYB,7-Jan-2009,2009,2.43,29.65,49.99,18.26,2.09,NA,29.65,16.54,26.7,12.28,NA,NA,NA,NA,NA,55.52,NA,NA,NA
Belarus,112,IPUMS,7-Jan-2009,2009,2.48,27,51.73,19.09,2.19,0.37,27,17.56,27.1,11.42,10.25,1.17,15.81,1.12,0.0,56.08,30.6,9.42,0.79
Belarus,112,MICS,7-Jan-2012,2012,2.46,23.65,56.45,18.29,1.61,0.42,23.65,24.74,30.33,9.35,8.66,0.69,11.37,0.56,0.0,64.41,23.57,6.71,0.98
Belarus,112,DYB,7-Jan-2019,2019,2.16,37.96,47.02,13.54,1.47,NA,37.96,NA,NA,14.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,112,MICS,7-Jan-2019,2019,2.34,29.78,51.99,16.08,2.15,0.4,29.78,25.4,25.49,8.36,7.58,0.78,9.92,1.06,0.0,59.24,21.19,5.81,0.52
Belgium,56,DYB,7-Jan-2001,2001,2.36,31.79,47.59,18.46,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,56,LFS,7-Jan-2001,2001,2.4,30.21,48.41,19.23,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,56,DYB,7-Jan-2011,2011,2.32,34.05,46.5,17.26,2.19,NA,33.96,24.56,26.85,9.18,NA,NA,NA,NA,5.45,60.6,NA,NA,NA
Belgium,56,LFS,7-Jan-2011,2011,2.36,30.87,48.31,18.7,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belize,84,MICS,7-Jan-2006,2006,4.16,13.75,30.62,30.4,25.23,1.54,13.75,9.73,42.54,9.59,8.07,1.51,22.32,1.54,0.53,61.85,26.49,12.44,2.9
Belize,84,MICS,7-Jan-2011,2011,3.91,15.06,32.7,31.16,21.07,1.35,15.06,10.26,42.18,9.67,8.47,1.19,20.01,2.78,0.04,62.11,26.04,11.68,2.2
Belize,84,MICS,7-Jan-2015,2015,3.75,17.19,34.06,29.43,19.32,1.24,17.19,9.51,36.18,12.64,10.9,1.74,21.96,2.52,0.0,58.33,27.71,12.77,1.95
Benin,204,IPUMS,7-Jan-1979,1979,5.4,13.56,24.81,23.16,38.47,2.63,13.56,4.35,20.69,8.78,6.48,2.3,40.99,7.44,4.19,33.82,NA,NA,NA
Benin,204,IPUMS,7-Jan-1992,1992,5.9,12.14,21.85,22.63,43.39,2.87,12.14,3.39,22.67,8.8,6.75,2.04,36.46,15.12,1.42,34.86,25.46,16.72,2.78
Benin,204,DHS,18/07/1996,1996,6,8.7,19.64,25.02,46.64,2.95,8.7,3.46,27.13,7,4.63,2.38,44.98,8.62,0.11,37.59,26.97,18.5,2.98
Benin,204,DHS,25/09/2001,2001,5.18,11.86,23.95,26.25,37.94,2.5,11.86,3.98,31.5,8.33,6.4,1.93,38.09,6.13,0.12,43.81,23.27,14.08,3.15
Benin,204,DYB,7-Jan-2002,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,204,IPUMS,7-Jan-2002,2002,5.58,12.18,23.25,24.27,40.3,2.62,12.18,3.91,28.4,10.58,8.59,1.99,35.91,9.03,0.0,42.88,25.78,15.05,2.31
Benin,204,DHS,29/09/2006,2006,5.05,10.5,23.31,30.11,36.09,2.48,10.5,3.86,38.16,10.28,8.74,1.54,34.56,2.58,0.07,52.3,19.92,11.71,2.87
Benin,204,DHS,17/02/2012,2012,4.96,10.27,23.15,30.22,36.37,2.42,10.27,3.6,38.52,11.49,8.88,2.61,33.89,2.19,0.05,53.61,20.8,11.98,3.64
Benin,204,DYB,7-Jan-2013,2013,5.52,10.83,22.38,26.11,40.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,204,IPUMS,7-Jan-2013,2013,5.54,10.81,22.43,26.12,40.64,2.59,10.81,3.46,33.76,11.92,9.92,1.99,34.99,5.08,0.0,49.13,26.2,14.03,2.55
Benin,204,MICS,7-Jan-2014,2014,5.18,10.15,22.01,29.21,38.63,2.5,10.15,3.75,37.99,9.63,7.96,1.67,34.71,3.75,0.01,51.37,22.34,13.42,3.43
Benin,204,DHS,1-Feb-2018,2018,5.19,9.78,23.56,29.1,37.56,2.5,9.78,3.51,35.43,10.66,8.32,2.34,36.34,4.28,0.0,49.6,23.89,15.99,4.31
Bermuda,60,DYB,7-Jan-2000,2000,2.47,29.26,47.83,20.36,2.56,NA,27.87,19.72,25.42,10.68,NA,NA,NA,NA,16.32,55.81,NA,NA,NA
Bermuda,60,DYB,7-Jan-2010,2010,2.39,NA,NA,NA,NA,NA,28.87,20.42,21.53,12.27,NA,NA,NA,NA,16.91,54.22,NA,NA,NA
Bermuda,60,DYB,7-Jan-2016,2016,2.26,34.09,48.39,15.81,1.7,NA,34.09,16.78,18.63,10.4,NA,NA,NA,NA,20.1,45.81,NA,NA,NA
Bhutan,64,DYB,7-Jan-2005,2005,NA,9.19,25.68,33.7,31.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhutan,64,MICS,7-Jan-2010,2010,4.59,6.13,25.08,38.95,29.85,1.48,6.13,6.85,39.6,4.91,3.51,1.4,40.47,2.02,0.02,51.36,41.18,25.35,1.2
