country,Corpus,Nb.of.participants,Location,Latitude,Longitude
Argentina,Remedi,1,"Rio Cuarto, Cordoba, Argentina",-31.4201,-64.1888
Austria,Koroschetz,1,Austria,47.5162,14.5501
Belgium,DeHouwer,4,"Antwerp, Belgium",51.2194,4.4025
Belgium,De Houwer,1,"Antwerp, Belgium",51.2194,4.4025
Belgium,De Houwer/Bornstein,34,Belgium (mostly Flanders and Brussels),50.8503,4.3517
Belgium,Gillis,1,Antwerp (Belgium),51.2194,4.4025
Brazil,Florianopolis,1,Sao Paulo,-23.5505,-46.6333
Canada,GNP,5,Montreal or surroundings communities,45.5017,-73.5673
Canada,CCLAS,1,Canada,56.1304,-106.3468
Canada,GoadRose,2,"Québec City, Québec, Canada (Clara); Montréal suburb, Québec, Canada (Théo)",46.8139,-71.208
China,Erbaugh,4,"Beijing, China",39.9042,116.4074
China,YipMatthews,9,China,35.8617,104.1954
China,ZhouDinner,71,China,35.8617,104.1954
China,Zhou3,1,China,35.8617,104.1954
China,LeeWongLeung,8,China,35.8617,104.1954
China,Tong,1,"Shenzhen, China",22.5431,114.0579
China,LiZhou,80,China,35.8617,104.1954
Croatia,Kovacevic,3,Croatia,45.815,15.9785
Czech Republic,Chromá,6,Czech Republic: Prague and Hradec Králové,50.0755,14.4378
Denmark,Plunkett,2,Denmark,56.2639,9.5018
Denmark,Hayashi,1,Denmark,56.2639,9.5018
Egypt,Salama,10,"Alexandria, Egypt",31.2156,29.9553
Estonia,Zupping,1,Southern Estonia,58.5953,25.0136
Estonia,Beek,1,Estonia,58.5953,25.0136
Estonia,Kohler,8,"Tartu, Estonia",58.378,26.7297
Estonia,Korgesaar,12,Estonia,58.5953,25.0136
Estonia,Kuett,7,"Tartu, Estonia ; Rapla, Estonia",58.378,26.7297
Estonia,Kapanen,1,Estonia,58.5953,25.0136
Estonia,Vija,1,"Tartu, Estonia",58.378,26.7297
Estonia,Argus,1,"Estonia, Tallinn ",58.378,24.7536
France,Yamaguchi,1,France,46.6034,1.8883
France,Watkins,7,"Paris, France",48.8566,2.3522
France,Champaud,1,France,46.6034,1.8883
France,Pauline,1,France,46.6034,1.8883
France,Bailleul,1,"France (Normandy, Marseille, + places visited)",43.2965,5.3698
France,Paris,7,France,46.6034,1.8883
France,Leveillé,1,France,46.6034,1.8883
France,York,3,France,46.6034,1.8883
France,Lyon,5,France,46.6034,1.8883
France,Hunkeler,2,France,46.6034,1.8883
France,Palasis,22,France,46.6034,1.8883
Germany,Caroline,1,"Germany, Heidelberg",49.3988,8.6724
Germany,PhonBLA,9,Germany,51.1657,10.4515
Germany,PAIDUS-German,5,"Hamburg, Germany",53.5511,9.9937
Germany,Rigol,21,"Germany, village/city",51.1657,10.4515
Germany,Miller,2,Germany,51.1657,10.4515
Germany,Wagner,13,"Dortmund, Germany",51.5136,7.4653
Germany,Grimm,4,"Osnabrueck, Germany",52.2799,8.0472
Greece,Stephany,4,"Athens, Greece",37.9838,23.7275
Greece,Doukas,2,"Athens, Greece",37.9838,23.7275
Hungary,MacWhinney,6,Hungary,47.1625,19.5033
Hungary,Reger,1,Hungary,47.1625,19.5033
Hungary,Navracsics,2,"Veszprém, Hungary",47.093,17.9115
Hungary,Bodor,1,"Budapest, Hungary",47.4979,19.0402
Iceland,Kari,1,Iceland,64.9631,19.0208
