"corpus_name","count"
"Aguirre",24871
"Altinkamis",4537
"Amsterdam",53002
"Andren",3640
"Argus",4519
"Avram",60005
"BSF",23114
"Bailleul",10677
"BatEl",4995
"Beek",17012
"Belfast",107814
"BermanLong",98382
"Biro",67555
"Bloom",69173
"Bodor",17756
"Brent",168019
"Brown",184639
"CCF",32432
"CCLAS",26892
"CHCC",100212
"CIG1",78770
"CIG2",151422
"CRSLP",53031
"CUHK",2800
"Calambrone",52971
"Caroline",57739
"Champaud",10059
"Chroma",86977
"Clark",42470
"Davis",97128
"DeHouwer",27124
"DeHouwerBornstein",28530
"DeLisser",78064
"Demetras1",15271
"Demetras2",20530
"Demuth",69575
"Deuchar",10609
"Doukas",19907
"Erbaugh",68164
"EstevePrieto",3734
"FallsChurch",27541
"Family",53178
"Feldman",9248
"FerFuLice",131837
"FernAguado",122657
"Florianopolis",17009
"Forrester",17218
"GNP",26490
"Gaeltacht",30898
"Garmann",43158
"Geneva",13273
"Gillis",24967
"GoadRose",7079
"Grimm",8664
"Groningen",288963
"Guilfoyle",4793
"Hacohen",5179
"Hall",233542
"Hamasaki",48695
"Hayashi",17388
"Higginson",15626
"Howe",20787
"Hunkeler",5827
"Ionin",19685
"Ishii",96374
"Jakarta",912234
"Jiwon",17045
"Jordina",8795
"Julia",5413
"Kapanen",8362
"Kari",81971
"KernRomanian",33024
"Klammler",5896
"Kohler",24474
"Koine",60738
"Korgesaar",38456
"Korman",13699
"Koroschetz",1862
"Kovacevic",95020
"Kuett",10241
"Kuwaiti",14094
"Lacerda",6508
"LeeWongLeung",254521
"Leo",510079
"Leveille",38085
"Levy",99814
"LiZhou",13245
"Linaza",6135
"LlinasOjea",77110
"Lund",153749
"Luque",26833
"Lyon",256580
"MCF",2244
"MacWhinney",157463
"Manchester",623800
"Marrero",8963
"McMillan",227
"Menn",4168
"MiiPro",429257
"Miller",191327
"MireiaEvaPascual",13984
"Miyata",165261
"Montes",9052
"Morisset",32959
"NINJAL-Okubo",125044
"Naama",2793
"Narasimhan",6375
"Navracsics",9949
"Nieva",38792
"Okayama",65074
"OreaPine",78508
"Ornat",23171
"Ota",7739
"Palasis",57308
"Paris",295570
"Pauline",14487
"Perez",9767
"Peters",47866
"Plunkett",87600
"Post",37519
"Protassova",10218
"Providence",460061
"Ravid",16250
"Reger",19941
"Remedi",4803
"Rigol",328672
"Ringstad",49298
"Roggero",470
"Roma",2957
"Romero",1499
"Ryu",102887
"SCECL",393212
"Sachs",29493
"Salama",9669
"Samadi",4305
"Santos",111445
"Sarvasy",6378
"Schaerlaekens",11956
"Serra",69229
"SerraSole",141696
"Singapore",43734
"Snow",34757
"Soderstrom",33885
"Soto",51115
"StanfordJapanese",3942
"Stellenbosch",7114
"Stephany",19949
"Suppes",69146
"Tanja",4980
"Thomas",605988
"Ticio",6656
"Tonelli",29519
"Tong",32250
"Tsay",522127
"Utrecht",65079
"Valian",43868
"VanKampen",109188
"Vija",58677
"Vila",114942
"Wagner",71826
"Warren",9448
"Watkins",2815
"WeistJarosz",22092
"Wells",99866
"Wijnen",29328
"Yamaguchi",29880
"YipMatthews",404887
"York",90599
"Zagar",1536
"Zhou3",24009
"ZhouDinner",17217
"Zupping",28296
