country	Corpus	Nb.of.participants	Location
1	Argentina	Remedi	1	Rio Cuarto, Cordoba, Argentina
2	Austria	Koroschetz	1	Austria
3	Belgium	DeHouwer	4	Antwerp, Belgium
4	Belgium	De Houwer	1	Antwerp, Belgium
5	Belgium	De Houwer/Bornstein	34	Belgium (mostly Flanders and Brussels)
6	Belgium	Gillis	1	Antwerp (Belgium)
7	Brazil	Florianopolis	1	Sao Paulo
8	Canada	GNP	5	Montreal or surroundings communities
9	Canada	CCLAS	1	Canada
10	Canada	GoadRose	2	Québec City, Québec, Canada (Clara); Montréal suburb, Québec, Canada (Théo)
11	China	Erbaugh	4	Beijing, China
12	China	YipMatthews	9	China
13	China	ZhouDinner	71	China
14	China	Zhou3	1	China
15	China	LeeWongLeung	8	China
16	China	Tong	1	Shenzhen, China
17	China	LiZhou	80	China
18	Croatia	Kovacevic	3	Croatia
19	Czech Republic	Chromá	6	Czech Republic: Prague and Hradec Králové
20	Denmark	Plunkett	2	Denmark
21	Denmark	Hayashi	1	Denmark
22	Egypt	Salama	10	Alexandria, Egypt
23	Estonia	Zupping	1	Southern Estonia
24	Estonia	Beek	1	Estonia
25	Estonia	Kohler	8	Tartu, Estonia
26	Estonia	Korgesaar	12	Estonia
27	Estonia	Kuett	7	Tartu, Estonia ; Rapla, Estonia
28	Estonia	Kapanen	1	Estonia
29	Estonia	Vija	1	Tartu, Estonia
30	Estonia	Argus	1	Estonia, Tallinn 
31	France	Yamaguchi	1	France
32	France	Watkins	7	Paris, France
33	France	Champaud	1	France
34	France	Pauline	1	France
35	France	Bailleul	1	France (Normandy, Marseille, + places visited)
36	France	Paris	7	France
37	France	Leveillé	1	France
38	France	York	3	France
39	France	Lyon	5	France
40	France	Hunkeler	2	France
41	France	Palasis	22	France
42	Germany	Caroline	1	Germany, Heidelberg
43	Germany	PhonBLA	9	Germany
44	Germany	PAIDUS-German	5	Hamburg, Germany
45	Germany	Rigol	21	Germany, village/city
46	Germany	Miller	2	Germany
47	Germany	Wagner	13	Dortmund, Germany
48	Germany	Grimm	4	Osnabrueck, Germany
49	Greece	Stephany	4	Athens, Greece
50	Greece	Doukas	2	Athens, Greece
51	Hungary	MacWhinney	6	Hungary
52	Hungary	Reger	1	Hungary
53	Hungary	Navracsics	2	Veszprém, Hungary
54	Hungary	Bodor	1	Budapest, Hungary
55	Iceland	Kari	1	Iceland
56	India	Narasimhan	1	Bombay, India
57	Indonesia	Jakarta	8	Indonesia
