"Language","Total_Participants"
"Afrikaans",2
"Arabic (Egyptian or Kuwaiti)",80
"Basque",46
"Cantonese",8
"Catalan",17
"Catalan/Spanish",1
"Cree",1
"Croatian",3
"Czech",6
"Danish",2
"Dutch",23
"Dutch/English, Dutch/French",34
"Dutch/Italian",4
"English",210
"English/Cantonese",9
"English/Dutch",1
"English/French",12
"English/Hebrew",1
"English/Japanese",1
"English/Japanese/Danish",1
"English/Mandarin",55
"English/Mandarin/Cantonese",11
"English/Russian",22
"English/Spanish",9
"Estonian",32
"Farsi",5
"French",46
"French/Russian",1
"German",46
"German/Spanish",9
"Greek",6
"Hebrew",122
"Hungarian",8
"Hungarian/Catalan/Spanish",1
"Hungarian/Farsi/English",2
"Icelandic",1
"Indonesian",8
"Irish",7
"Italian",8
"Italian/German",2
"Italian/Japanese",1
"Jamaican",2
"Japanese",148
"Korean",4
"Mandarin",157
"Norwegian",11
"Nungon",5
"Polish",4
"Portuguese (Brazilian or European)",9
"Portuguese/Swedish/English",3
"Romanian",6
"Russian",2
"Serbian",8
"Sesotho",4
"Slovenian",20
"Spanish",75
"Spanish/Catalan",5
"Spanish/English",3
"Spanish/Galician",66
"Swedish",9
"Taiwanese",4
"Tamil",1
"Thai",18
"Turkish",1
"Welsh",475
