country,Corpus,NumChildren,NumWords,,
Argentina,Remedi,1,64382,,
Austria,Koroschetz,1,6814,,
Belgium,De Houwer/Bornstein,0,32628,,
Belgium,Gillis,1,80851,,
Belgium,De Houwer,6,108072,,
Brazil,Florianopolis,1,53493,,
Canada,GoadRose,2,18030,,
Canada,CCLAS,2,54663,,
Canada,GNP,5,78013,,
China,LiZhou,79,47869,,
China,ZhouDinner,65,75363,,
China,Zhou3,2,97473,,
China,Tong,1,129899,,
China,Erbaugh,1,260007,,
China,LeeWongLeung,20,912510,,
China,YipMatthews,13,1544489,,
Croatia,Kovacevic,3,315578,,
Czech Republic,Chrom ,6,290272,,
Denmark,Hayashi,1,32133,,
Denmark,Plunkett,,285447,,
Egypt,Salama,10,26756,,
Estonia,Argus,,13422,,
Estonia,Kuett,1,49132,,
Estonia,Kapanen,2,54335,,
Estonia,Beek,1,59262,,
Estonia,Kohler,8,71541,,
Estonia,Zupping,3,104747,,
Estonia,Vija,1,228463,,
Estonia,Korgesaar,19,257499,,
France,Watkins,9,12042,,
France,Hunkeler,2,18885,,
France,Bailleul,1,39447,,
France,Champaud,3,47265,,
France,Pauline,1,47969,,
France,Yamaguchi,1,131762,,
France,Leveill‚,1,177337,,
France,Palasis,25,268215,,
France,York,5,391319,,
France,Lyon,6,815998,,
France,Paris,6,1162600,,
Germany,Grimm,4,15841,,
Germany,Rigol,1,17560,,
Germany,PhonBLA,1,113831,,
Germany,Caroline,2,255311,,
Germany,Wagner,12,334104,,
Germany,Miller,3,636568,,
Germany,PAIDUS-German,5,70986,,
Greece,Stephany,6,51543,,
Greece,Doukas,2,67331,,
Hong Kong,CUHK,10,9278,,
Hong Kong,Leo,4,2073655,,
Hungary,Navracsics,2,40059,,
Hungary,Reger,2,59982,,
Hungary,Bodor,4,61065,,
Hungary,MacWhinney,12,705729,,
Iceland,Kari,2,283259,,
India,Narasimhan,1,15490,,
Indonesia,Jakarta,10,2450900,,
Iran,Samadi,3,12081,,
Iran,Family,2,177080,,
Ireland,Guilfoyle,8,19474,,
Ireland,Gaeltacht,1,107981,,
Israel,Naama,1,7632,,
Israel,BatEl,8,10903,,
Israel,Hacohen,2,18482,,
Israel,BSF,78,78334,,
Israel,Levy,26,336306,,
Israel,BermanLong,5,360426,,
Israel,Ravid,7,1814613,,
Italy,Roma,2,1054,,
Italy,Klammler,2,18213,,
Italy,Tonelli,3,114070,,
Italy,Calambrone,6,197961,,
Italy,Roggero,3,199372,,
Jamaica,DeLisser,2,350017,,
Japan,Hamasaki,2,106022,,
Japan,Ishii,1,227027,,
Japan,Okayama,103,227142,,
Japan,Miyata,3,372921,,
Japan,NINJAL-Okubo,1,378670,,
Japan,Miipro,12,1258953,,
Kuwait,Kuwaiti,58,26937,,
Lesotho,Demuth,3,234633,,
Mexico,Romero,1,9056,,
Mexico,Montes,1,29260,,
Netherlands,Schaerlaekens,6,35192,,
Netherlands,Wijnen,1,84873,,
Netherlands,Utrecht,3,216934,,
Netherlands,Amsterdam,5,239312,,
Netherlands,VanKampen,2,419969,,
Netherlands,Groningen,8,1000544,,
Norway,Garmann,5,49423,,
Norway,Ringstad,5,1419168,,
Papua New Guinea,Sarvasy,3,19658,,
Poland,WeistJarosz,4,71995,,
Portugal,CCF,6,65266,,
Portugal,Santos,2,423011,,
Romania,Kern-Romanian,4,33063,,
Romania,Avram,3,156340,,
Russia,Protassova,3,139701,,
Serbia,SCECL,9,1107254,,
Singapore,Singapore,0,211077,,
Slovenia,Zagar,0,9040,,
South Africa,Stellenbosch,3,26020,,
South Korea,Jiwon,1,36283,,
South Korea,Ryu,1,354975,,
Spain,EsteveGibert/Prieto,4,4483,,
Spain,Julia,1,19779,,
Spain,Linaza,3,21943,,
Spain,Jordina,1,35452,,
Spain,Marrero,3,37325,,
Spain,MireiaEvaPascual,3,45598,,
Spain,Aguirre,2,75224,,
Spain,Ornat,2,87358,,
Spain,Luque,93,87466,,
Spain,Nieva,2,99601,,
Spain,Soto,9,150242,,
Spain,LlinasOjea,2,160805,,
Spain,Vila,2,186145,,
